"id","name","domain","networkMetric","supply","kernel","radius","beta","shape","exponent","gamma","a","tau","rank","lower","b","threshold","p","speed"
"N1","Mean network depth","network","mean","one","identity","65","0.08","1","1.3","0","0","0","3","0","1","1","1","4.8"
"N2","Closeness centrality","network","closeness","one","identity","65","0.08","1","1.3","0","0","0","3","0","-1","1","1","4.8"
"N3","Harmonic centrality","network","harmonic","one","power","65","0.08","1","1","0","1","0","3","0","1","1","1","4.8"
"N4","Edge betweenness","network","betweenness","one","constant","65","0.08","1","1.3","0","1","0","3","0","1","1","1","4.8"
"O1","Cumulative opportunities","poi","","one","step","15","0.08","1","1.3","0","1","0","3","0","1","1","1","4.8"
"O2","Weighted opportunities","poi","","weighted","step","15","0.08","1","1.3","0","1","0","3","0","1","1","1","4.8"
"O3","Opportunity coverage","poi","","weighted","step","15","0.08","1","1.3","0","1","0","3","0","0","6","1","4.8"
"G1","Exponential gravity","poi","","one","exponential","65","0.08","1","1.3","0","1","0","3","0","1","1","1","4.8"
"G2","Gaussian gravity","poi","","one","gaussian","65","0.01","2","1.3","0","1","0","3","0","1","1","1","4.8"
"G3","Power-law gravity","poi","","one","power","65","0.08","1","1.3","0","1","0","3","0","1","1","1","4.8"
"G4","Linear gravity","poi","","one","linear","20","0.08","1","1.3","0","1","0","3","0","1","1","1","4.8"
"C1","Nearest destination","poi","","one","identity","65","0.08","1","1.3","0","0","1","1","0","1","1","1","4.8"
"C2","Nth-nearest destination","poi","","one","identity","65","0.08","1","1.3","0","0","1","3","0","1","1","1","4.8"
"C3","Minimum quota cost","poi","","weighted","identity","65","0.08","1","1.3","0","0","1","6","0","1","1","1","4.8"
"D1","2SFCA","poi","","weighted","step","15","0.08","1","1.3","1","1","0","3","0","1","1","1","4.8"
"D2","E2SFCA","poi","","weighted","bands","30","0.08","1","1.3","1","1","0","3","0","1","1","1","4.8"
"D3","Continuous competition","poi","","weighted","exponential","65","0.08","1","1.3","1","1","0","3","0","1","1","1","4.8"
